tax_specie	Genomic.bins	classification	abundance	completeness	contamination	N50	binner	sample	tax_family	totalTPM	relative_abund	binID	binID_new	size
1	Acutalibacter_ornithocaccae	bin.1	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter ornithocaccae	26.089476	80.34	2.013	4896	binsA	SRR22360827	Acutalibacteraceae	922.3996105	0.0282843527935336	SRR22360827_bin.4	Acutalibacter_ornithocaccae_pooled	1930569
2	Acutalibacter_ornithocaccae	bin.1	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter ornithocaccae	35.126906	80.34	2.013	4896	binsA	SRR22360844	Acutalibacteraceae	772.148354	0.0454924313676644	SRR22360844_bin.18	Acutalibacter_ornithocaccae_pooled	1930569
3	Acutalibacter_ornithocaccae	bin.1	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter ornithocaccae	16.7217615	80.34	2.013	4896	binsA	SRR22360835	Acutalibacteraceae	750.271317	0.0222876193199853	SRR22360835_bin.4	Acutalibacter_ornithocaccae_pooled	1930569
4	Agathobaculum_intestinigallinarum	concoct_bin.59	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum intestinigallinarum	83.465769	80.79	4.914	5493	binsB	SRR22360840	Butyricicoccaceae	1191.8643445	0.0700295880023282	SRR22360840_bin.2	Agathobaculum_intestinigallinarum_pooled	2274117
5	Agathobaculum_intestinigallinarum	concoct_bin.59	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum intestinigallinarum	22.297331	80.79	4.914	5493	binsB	SRR22360837	Butyricicoccaceae	431.7298985	0.0516464833162348	SRR22360837_bin.13	Agathobaculum_intestinigallinarum_pooled	2274117
6	Agathobaculum_intestinigallinarum	concoct_bin.59	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum intestinigallinarum	19.922919	80.79	4.914	5493	binsB	SRR22360822	Butyricicoccaceae	1382.117407	0.0144147804658971	SRR22360822_bin.16	Agathobaculum_intestinigallinarum_pooled	2274117
7	Agathobaculum_merdipullorum	bin.1	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum merdipullorum	62.722973	98.99	0.671	46111	binsB	SRR22360843	Butyricicoccaceae	793.533533	0.0790426244028682	SRR22360843_bin.9	Agathobaculum_merdipullorum_pooled	3009468
8	Agathobaculum_merdipullorum	bin.1	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum merdipullorum	78.321551	98.99	0.671	46111	binsB	SRR22360838	Butyricicoccaceae	2103.445542	0.0372348841156735	SRR22360838_bin.3	Agathobaculum_merdipullorum_pooled	3009468
9	Agathobaculum_pullistercoris	bin.1	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum pullistercoris	15.157297	85.24	3.322	7243	binsA	SRR22360814	Butyricicoccaceae	1214.0755	0.0124846411940608	SRR22360814_bin.21	Agathobaculum_pullistercoris_pooled	2279559
10	Agathobaculum_pullistercoris	bin.1	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum pullistercoris	12.3546005	85.24	3.322	7243	binsA	SRR22360820	Butyricicoccaceae	846.75468	0.0145905311087268	SRR22360820_bin.7	Agathobaculum_pullistercoris_pooled	2279559
